rodzaj;kod pocztowy;miasto;ulica;Lat;Long
POZ;13-200;DZIA£DOWO;POCZTOWA 6;53.233391;20.176075
ZPO;13-200;DZIA£DOWO;W£ADYS£AWA JAGIE££Y 22;53.23447;20.176153
ZPO;13-200;DZIA£DOWO;HALLERA 23;53.235558;20.176437
STM;13-200;DZIA£DOWO;KATARZYNY 39;53.234503;20.178004
ZPO;13-200;DZIA£DOWO;PLAC MICKIEWICZA 30;53.233389;20.178525
AOS;13-200;DZIA£DOWO;TYLNA 7;53.234417;20.179517
ZPO;13-200;DZIA£DOWO;W£.JAGIE££Y 26;53.235677;20.179979
POZ;13-200;DZIA£DOWO;KONOPNICKIEJ 44;53.238863;20.180385
AOS;13-200;DZIA£DOWO;NORWIDA 29;53.239266;20.180717
POZ;13-200;DZIA£DOWO;NORWIDA 29;53.239266;20.180717
ZPO;13-200;DZIA£DOWO;WYSZY—SKIEGO 23;53.236661;20.181818
ZPO;13-200;DZIA£DOWO;KONOPNICKIEJ 9;53.238385;20.183271
POZ;13-200;DZIA£DOWO;LENARTOWICZA 1;53.240179;20.184288
AOS;13-200;DZIA£DOWO;WOLNOåCI 46;53.235818;20.184846
AOS;13-200;DZIA£DOWO;NIDZICKA 10;53.241987;20.188046
ZPO;13-200;DZIA£DOWO;NIDZICKA 10;53.241987;20.188046
STM;13-200;DZIA£DOWO;NIDZICKA 12;53.242033;20.188075
POZ;13-200;DZIA£DOWO;SPORTOWA 2C;53.238443;20.188122
ZPO;13-200;DZIA£DOWO;NIDZICKA 36;53.243279;20.188557
POZ;13-200;DZIA£DOWO;SPORTOWA 1;53.239057;20.189121
PSY;13-200;DZIA£DOWO;RYDYGIERA 6;53.244081;20.191524
POZ;13-200;KL CZKOWO;KL CZKOWO 13;53.29236;20.191861
AOS;13-200;DZIA£DOWO;LEåNA 1;53.241782;20.192547
OPH;13-200;DZIA£DOWO;LEåNA 1;53.241782;20.192547
POZ;13-200;DZIA£DOWO;LEåNA 1;53.241782;20.192547
PRO;13-200;DZIA£DOWO;LEåNA 1;53.241782;20.192547
PSY;13-200;DZIA£DOWO;LEåNA 1;53.241782;20.192547
REH;13-200;DZIA£DOWO;LEåNA 1;53.241782;20.192547
RTM;13-200;DZIA£DOWO;LEåNA 1;53.241782;20.192547
SOK;13-200;DZIA£DOWO;LEåNA 1;53.241782;20.192547
SZP;13-200;DZIA£DOWO;LEåNA 1;53.241782;20.192547
OPH;13-200;DZIA£DOWO;LEåNA 11D;53.241106;20.195081
ZPO;13-200;DZIA£DOWO;LEåNA 11;53.241106;20.195081
POZ;14-107;MIELNO;21;53.509478;20.195681
POZ;11-036;BIESAL;- 1;53.719974;20.196864
STM;11-036;BIESAL;1;53.719974;20.196864
POZ;13-200;DZIA£DOWO;åWIERKOWA 6;53.241847;20.197482
STM;13-200;DZIA£DOWO;PODKOWI—SKIEGO 8;53.24396;20.199309
ZPO;13-200;DZIA£DOWO;LEåNA 13D;53.241853;20.199518
STM;13-200;DZIA£DOWO;LEåNA 21;53.241807;20.20253
STM;13-200;DZIA£DOWO;M£ODZIEØOWA 4;53.241183;20.20329
AOS;13-200;MALINOWO;3F;53.243136;20.220455
REH;13-200;MALINOWO;3F;53.243136;20.220455
ZPO;13-200;DZIA£DOWO;MALINOWO 3F;53.243136;20.220455
POZ;14-521;LELKOWO;19;54.325094;20.224967
STM;14-521;LELKOWO;19;54.325094;20.224967
POZ;14-521;LELKOWO;12;54.324826;20.225292
POZ;13-200;MALINOWO;MALINOWO 10;53.2435704;20.2293706
POZ;11-135;LUBOMINO;KOPERNIKA 4;54.066575;20.234238
AOS;11-036;GIETRZWA£D;èR”DLANA 5/1;53.750065;20.236596
POZ;11-036;GIETRZWA£D;èR”DLANA 5/1;53.750065;20.236596
PRO;11-036;GIETRZWA£D;èR”DLANA 5/1;53.750065;20.236596
STM;11-036;GIETRZWA£D;èR”DLANA 5/1;53.750065;20.236596
STM;11-008;åWI•TKI;36;53.926269;20.239941
POZ;11-008;åWI•TKI;åWI•TKI 35;53.926312;20.240562
ZPO;11-008;åWI•TKI;35;53.926312;20.240562
POZ;11-135;LUBOMINO;KOPERNIKA 51;54.0612;20.243013
POZ;11-135;LUBOMINO;KOPERNIKA 51/2;54.0612;20.243013
REH;11-135;LUBOMINO;KOPERNIKA 51;54.0612;20.243013
STM;11-135;LUBOMINO;KOPERNIKA 51;54.0612;20.243013
POZ;11-008;åWI•TKI;95;53.927818;20.245765
POZ;11-130;MINGAJNY;48;54.160435;20.252633
POZ;13-124;ROG”Ø;4;53.360465;20.256266
POZ;11-042;WRZESINA;43;53.794495;20.257949
POZ;13-240;NARZYM;SPORTOWA 1;53.184474;20.259058
POZ;13-241;NARZYM;KOåCIELNA 14;53.185379;20.259575
REH;13-124;KOZ£OWO;NIDZICKA 31;53.305358;20.261
POZ;13-124;KOZ£OWO;P”LKO 8;53.302803;20.27965
STM;13-124;KOZ£OWO;- 61;53.303138;20.281034
STM;11-015;OLSZTYNEK;OSTR”DZKA 2;53.583639;20.281056
POZ;13-124;SZKOTOWO;- 51;53.400119;20.284007
POZ;13-124;SZKOTOWO;51;53.400119;20.284007
ZPO;11-015;OLSZTYNEK;KOåCIUSZKI 6D;53.580215;20.284607
AOS;11-015;OLSZTYNEK;CHOPINA 11;53.582174;20.284793
POZ;11-015;OLSZTYNEK;CHOPINA 11;53.582174;20.284793
REH;11-015;OLSZTYNEK;CHOPINA 11;53.582174;20.284793
RTM;11-015;OLSZTYNEK;CHOPINA 11;53.582174;20.284793
STM;11-015;OLSZTYNEK;CHOPINA 11;53.582174;20.284793
ZPO;11-015;OLSZTYNEK;CHOPINA 11;53.582174;20.284793
ZPO;11-015;OLSZTYNEK;CHOPINA 2;53.582833;20.285032
OPH;11-015;OLSZTYNEK;KAJKI 3 -;53.577505;20.285933
SPO;11-015;OLSZTYNEK;KAJKI 3;53.577505;20.285933
ZPO;11-015;OLSZTYNEK;åWIERSZCZEWSKIEGO 7A;53.583139;20.286245
POZ;13-240;I£OWO-OSADA;LEåNA 10;53.164519;20.288592
AOS;13-240;I£OWO-OSADA;LEåNA 3D;53.164122;20.289111
POZ;13-240;I£OWO-OSADA;LEåNA 3D;53.164122;20.289111
REH;13-240;I£OWO-OSADA;LEåNA 3D;53.164122;20.289111
STM;11-015;OLSZTYNEK;åWIERCZEWSKIEGO 23/13;53.582515;20.289316
ZPO;11-015;OLSZTYNEK;åWIERCZEWSKIEGO 23;53.582515;20.289316
ZPO;13-240;I£OWO-OSADA;JAGIELLO—SKA 2;53.16524;20.291432
POZ;13-240;I£OWO-OSADA;WYZWOLENIA 11;53.168912;20.29347
STM;13-240;I£OWO-OSADA;WYZWOLENIA 6;53.168041;20.293629
POZ;13-124;KOZ£OWO;1;53.306984;20.295654
AOS;11-042;JONKOWO;LIPOWA 11;53.822097;20.305767
POZ;11-042;JONKOWO;LIPOWA 11;53.822097;20.305767
REH;11-042;JONKOWO;LIPOWA 11;53.822097;20.305767
STM;11-042;JONKOWO;LIPOWA 11;53.822097;20.305767
AOS;11-015;AMERYKA;21;53.617086;20.316472
REH;11-015;AMERYKA;21;53.617086;20.316472
SZP;11-015;AMERYKA;21;53.617086;20.316472
POZ;13-100;R•CZKI;30;53.410062;20.328691
POZ;11-036;SZ•BRUK;SAMULOWSKIEGO 3;53.723802;20.334484
REH;11-036;SZ•BRUK;SAMULOWSKIEGO 1;53.723802;20.334484
STM;11-226;KANDYTY; 10B;54.315814;20.36676
POZ;13-124;ZABOROWO;. 1;53.30163;20.36706
POZ;11-220;KANDYTY;KANDYTY 10B;54.31617;20.36826
POZ;11-040;G£OTOWO;G£OTOWO 17;53.945378;20.374947
POZ;11-040;DOBRE MIASTO;PIONIER”W 1;53.985751;20.389111
POZ;11-041;DOBRE MIASTO;PIONIER”W 1;53.985751;20.389111
ZPO;11-040;DOBRE MIASTO;PIONIER”W 1;53.985751;20.389111
POZ;11-040;DOBRE MIASTO;FABRYCZNA 6;53.989225;20.390454
POZ;11-040;DOBRE MIASTO;GDA—SKA 13/-;53.984965;20.391488
POZ;11-040;DOBRE MIASTO;WOJSKA POLSKIEGO 22;53.990517;20.395142
ZPO;11-040;DOBRE MIASTO;ZWYCI STWA 2A;53.988574;20.39528
ZPO;11-040;DOBRE MIASTO;JANA PAW£A II 32;53.986713;20.395465
STM;11-040;DOBRE MIASTO;WOJSKA POLSKIEGO 12;53.988952;20.395842
POZ;11-040;SMOLAJNY;SMOLAJNY 39;53.989402;20.399281
POZ;11-040;SMOLAJNY;SMOLAJNY 43;53.989402;20.399281
ZPO;11-034;STAWIGUDA;OLSZTTY—SKA 8/1;53.656761;20.400282
REH;11-034;STAWIGUDA;MAZURSKA 2/3;53.657233;20.400846
ZPO;11-034;STAWIGUDA;MAZURSKA 2/1;53.657233;20.400846
POZ;10-271;OLSZTYN;BA£TYCKA 151;53.804293;20.400935
AOS;11-034;STAWIGUDA;OLSZTY—SKA 13/1;53.656467;20.401324
POZ;11-034;STAWIGUDA;OLSZTY—SKA 13/1;53.656467;20.401324
STM;11-034;STAWIGUDA;OLSZTY—SKA 13/1;53.656467;20.401324
AOS;11-040;DOBRE MIASTO;OLSZTY—SKA 10/8;53.984311;20.402277
AOS;11-040;DOBRE MIASTO;GRUNWALDZKA 10  B;53.985228;20.402306
AOS;11-040;DOBRE MIASTO;GRUNWALDZKA 10 B;53.985228;20.402306
POZ;11-040;DOBRE MIASTO;GRUNWALDZKA 10  B;53.985228;20.402306
PSY;11-040;DOBRE MIASTO;GRUNWALDZKA 10  B;53.985228;20.402306
PSY;11-040;DOBRE MIASTO;GRUNWALDZKA 10 B;53.985228;20.402306
REH;11-040;DOBRE MIASTO;GRUNWALDZKA 10 B;53.985228;20.402306
RTM;11-040;DOBRE MIASTO;GRUNWALDZKA 10 B;53.985228;20.402306
SPO;11-040;DOBRE MIASTO;GRUNWALDZKA 10 B;53.985228;20.402306
SZP;11-040;DOBRE MIASTO;GRUNWALDZKA 10 B;53.985228;20.402306
AOS;11-040;DOBRE MIASTO;OLSZTY—SKA 3;53.984473;20.402821
POZ;11-040;DOBRE MIASTO;OLSZTY—SKA 3;53.984473;20.402821
STM;11-040;DOBRE MIASTO;OLSZTY—SKA 3/5;53.984473;20.402821
STM;11-040;DOBRE MIASTO;OLSZTY—SKA 3/8;53.984473;20.402821
STM;11-040;DOBRE MIASTO;OLSZTY—SKA 3/9;53.984473;20.402821
AOS;10-040;DOBRE MIASTO;GRUNWALDZKA 10B;53.984815;20.403362
ZPO;11-040;DOBRE MIASTO;GRUNWALDZKA 31;53.985226;20.403545
POZ;11-040;SMOLAJNY;- 39;54.025062;20.403669
POZ;13-100;£YNA;26;53.438529;20.406573
POZ;11-040;DOBRE MIASTO;U£A—SKA 6;53.985645;20.408974
POZ;13-100;NIDZICA;BARKE 3;53.361989;20.4115
POZ;11-040;DOBRE MIASTO;GARNIZONOWA 20;53.986611;20.413147
STM;11-040;DOBRE MIASTO;GARNIZONOWA 20;53.986611;20.413147
PSY;13-100;NIDZICA;KOLEJOWA 27;53.352125;20.414394
POZ;13-100;NIDZICA;KOPERNIKA 1;53.357009;20.420166
PSY;10-801;OLSZTYN;SIELSKA 34;53.768837;20.420608
AOS;13-100;NIDZICA;TRAUGUTTA 13;53.361338;20.421693
AOS;13-100;NIDZICA;TRAUGUTTA 13/102;53.361338;20.421693
POZ;13-100;NIDZICA;TRAUGUTTA 13;53.361338;20.421693
POZ;13-100;NIDZICA;TRAUGUTTA 13/19;53.361338;20.421693
PSY;13-100;NIDZICA;TRAUGUTTA 13;53.361338;20.421693
REH;13-100;NIDZICA;TRAUGUTTA 13;53.361338;20.421693
STM;13-100;NIDZICA;TRAUGUTTA 13;53.361338;20.421693
STM;13-100;NIDZICA;TRAUGUTTA 13/119;53.361338;20.421693
ZPO;13-100;NIDZICA;TRAUGUTTA 13;53.361338;20.421693
REH;13-100;NIDZICA;KRZYWA 9;53.359451;20.421745
RTM;10-802;OLSZTYN;SIELSKA 34;53.7686;20.421798
ZPO;13-100;NIDZICA;TRAUGUTTA 14;53.361719;20.422162
AOS;13-100;NIDZICA;M£YNARSKA 12;53.359904;20.424232
OPH;13-100;NIDZICA;M£YNARSKA 12;53.359904;20.424232
SPO;13-100;NIDZICA;M£YNARSKA 12;53.359904;20.424232
STM;13-100;NIDZICA;WARSZAWSKA 4B/1;53.357396;20.424559
ZPO;13-100;NIDZICA;KILI—SKIEGO 2;53.360881;20.425539
STM;13-100;NIDZICA;ØEROMSKIEGO 4;53.357638;20.426683
ZPO;13-100;NIDZICA;MICKIEWICZA 1;53.360632;20.426686
POZ;13-100;NIDZICA;JAGIE££Y 1;53.358626;20.427483
POZ;13-100;NIDZICA;KAROLA BARKE 2;53.360814;20.427487
STM;10-192;OLSZTYN;WIOåLARSKA 4;53.798316;20.428332
REH;10-831;OLSZTYN;SIEWNA 78;53.763237;20.42846
POZ;13-100;NIDZICA;JAGIE££Y 3;53.358533;20.429036
AOS;13-100;NIDZICA;ØEROMSKIEGO 9;53.358151;20.429305
POZ;13-100;NIDZICA;ØEROMSKIEGO 9;53.358151;20.429305
AOS;10-806;OLSZTYN;ZBOØOWA 27E;53.766911;20.429464
POZ;10-806;OLSZTYN;ZBOØOWA 27E;53.766911;20.429464
STM;10-807;OLSZTYN;ZBOØOWA 27 E;53.767886;20.42994
POZ;13-100;NIDZICA;1.MAJA 42;53.366957;20.430101
POZ;13-111;POWIERZ;, 2;53.275941;20.430285
REH;10-803;OLSZTYN;SIELSKA 12/K;53.768585;20.430424
STM;10-183;OLSZTYN;WCZASOWA 57;53.796521;20.431686
POZ;11-040;BARCIKOWO;BARCIKOWO 12A;53.94378;20.43234
AOS;13-100;NIDZICA;MICKIEWICZA 25;53.359691;20.433201
POZ;13-100;NIDZICA;MICKIEWICZA 25;53.359691;20.433201
REH;13-100;NIDZICA;MICKIEWICZA 25;53.359691;20.433201
RTM;13-100;NIDZICA;MICKIEWICZA 25;53.359691;20.433201
SPO;13-100;NIDZICA;MICKIEWICZA 25;53.359691;20.433201
SZP;13-100;NIDZICA;MICKIEWICZA 25;53.359691;20.433201
ZPO;13-100;NIDZICA;MICKIEWICZA 25;53.359691;20.433201
POZ;10-822;OLSZTYN;ØYTNIA  71/1;53.769159;20.434711
STM;13-100;NIDZICA;ØWIROWA 12;53.37348;20.434748
ZPO;11-041;OLSZTYN;NARCYZOWA 1A;53.800061;20.440321
POZ;13-100;NIDZICA;WYBORSKA 12;53.356891;20.440771
POZ;11-121;RUNOWO;RUNOWO 4;54.12892;20.44101
AOS;10-177;OLSZTYN;BRZOZOWA 14;53.789152;20.44182
SZP;10-177;OLSZTYN;BRZOZOWA 14;53.789152;20.44182
POZ;10-176;OLSZTYN;BA£TYCKA 43;53.789986;20.441916
POZ;10-161;OLSZTYN;GRABOWA 34/1;53.783567;20.445676
POZ;10-144;OLSZTYN;BA£TYCKA 37;53.785014;20.450868
STM;10-722;OLSZTYN;KANAFOJSKIEGO 3/12;53.75479;20.455287
AOS;10-722;OLSZTYN;KANAFOJSKIEGO 3;53.755224;20.455957
AOS;10-772;OLSZTYN;CZES£AWA KANAFOJSKIEGO 3/9;53.755224;20.455957
POZ;10-772;OLSZTYN;KANAFOJSKIEGO 3;53.755224;20.455957
POZ;10-148;OLSZTYN;ALEJA PRZYJACI”£ 42;53.786048;20.456574
POZ;10-150;OLSZTYN;RYBAKI 24;53.787183;20.458239
POZ;10-136;OLSZTYN;BA£TYCKA 4;53.781229;20.459097
STM;10-140;OLSZTYN;Ø”£TA 10A/46;53.777962;20.45999
POZ;10-900;OLSZTYN;JAGIELLO—CZYKA 32;53.770209;20.462962
POZ;10-062;OLSZTYN;JAGIELLO—CZYKA 32;53.771155;20.464111
STM;10-072;OLSZTYN;SZARYCH SZEREG”W 5;53.775886;20.464147
POZ;10-092;OLSZTYN;OBRO—C”W TOBRUKU 15/1;53.765463;20.467055
STM;10-072;OLSZTYN;ARMI KRAJOWEJ 3/155;53.765571;20.467289
PRO;10-127;OLSZTYN;JAGIE££Y 3/1;53.776572;20.468408
AOS;10-687;BART•G;NAD £YN• 64/1;53.71529;20.46855
POZ;10-687;BART•G;NAD £YN• 64/1;53.71529;20.46855
STM;10-687;BART•G;NAD £YN• 64/1;53.71529;20.46855
ZPO;10-089;OLSZTYN;GA£CZY—SKIEGO 1/13;53.762512;20.468814
POZ;10-168;OLSZTYN;KONOPNICKIEJ 11;53.777637;20.469106
STM;10-130;OLSZTYN;KROMERA 8;53.776608;20.470064
POZ;10-089;OLSZTYN;IWASZKIEWICZA 44;53.759218;20.470166
STM;10-059;OLSZTYN;POLNA 14/1;53.768804;20.47121
AOS;10-082;OLSZTYN;WARSZAWSKA 30;53.77253;20.471922
POZ;10-082;OLSZTYN;WARSZAWSKA 30;53.77253;20.471922
REH;10-082;OLSZTYN;WARSZAWSKA 30;53.77253;20.471922
SOK;10-082;OLSZTYN;WARSZAWSKA 30;53.77253;20.471922
SZP;10-082;OLSZTYN;WARSZAWSKA 30;53.77253;20.471922
POZ;10-059;OLSZTYN;POLNA 21;53.76678;20.472
ZPO;10-127;OLSZTYN;GRUNWALDZKA 8/9;53.775148;20.472449
ZPO;11-001;DYWITY;OLSZTY—SKA 70;53.838079;20.472521
AOS;10-123;OLSZTYN;GRUNWALDZKA 4/2;53.775001;20.47295
POZ;10-224;OLSZTYN;WOJSKA POLSKIEGO 17;53.75114;20.473004
STM;10-224;OLSZTYN;WOJSKA POLSKIEGO 17;53.75114;20.473004
STM;10-686;OLSZTYN;WILCZY—SKIEGO 17A/D;53.75114;20.473004
POZ;10-086;OLSZTYN;KORCZAKA 10;53.768343;20.473433
STM;10-086;OLSZTYN;KORCZAKA 10;53.768343;20.473433
AOS;10-010;OLSZTYN;OSI—SKIEGO 9;53.771975;20.475133
POZ;10-170;OLSZTYN;GIETKOWSKA 12;53.785898;20.475498
ZPO;10-026;OLSZTYN;STARE MIASTO 17/21;53.776061;20.475624
ZPO;11-001;DYWITY;SP”£DZIELCZA 2A/E2;53.8357;20.476369
STM;11-001;DYWITY;SP”£DZIELCZA 2/1E;53.835999;20.476737
AOS;10-007;OLSZTYN;SZRAJBERA 9/10;53.773763;20.476807
POZ;10-007;OLSZTYN;SZRAJBERA 9/10;53.773763;20.476807
POZ;10-113;OLSZTYN;MA££K”W 3;53.780528;20.477
STM;10-113;OLSZTYN;MA££K”W 3;53.780528;20.477
AOS;10-045;OLSZTYN;MARIA—SKA 4;53.770479;20.477155
AOS;10-052;OLSZTYN;MARIA—SKA 4;53.770479;20.477155
POZ;10-106;OLSZTYN;WYZWOLENIA 26/27;53.779148;20.477296
POZ;11-001;DYWITY;JEØYNOWA 16;53.83432;20.477621
REH;11-001;DYWITY;JEØYNOWA 16;53.83432;20.477621
STM;11-001;DYWITY;JEØYNOWA 16;53.83432;20.477621
POZ;10-045;OLSZTYN;NIEPODLEG£OåCI 18;53.772229;20.477649
STM;11-111;OLSZTYN;CURIE-SK£ODOWSKIEJ 27;53.779322;20.478323
STM;10-111;OLSZTYN;CURIE-SK£ODOWSKIEJ 27;53.779424;20.478535
AOS;10-698;OLSZTYN;SREBRNA 2/3;53.726007;20.478667
POZ;10-698;OLSZTYN;SREBRNA 2/3;53.726007;20.478667
AOS;10-116;OLSZTYN;RATUSZOWA 4;53.779649;20.479117
STM;10-116;OLSZTYN;RATUSZOWA 4;53.779649;20.479117
POZ;10-693;OLSZTYN;HALLERA 4;53.74;20.479476
STM;10-693;OLSZTYN;GEN J”ZEFA HALLERA 4 B;53.74;20.479476
SZP;10-693;OLSZTYN;GEN J”ZEFA HALLERA 4 B;53.74;20.479476
SZP;10-693;OLSZTYN;GEN. J”ZEFA HALLERA 4B;53.74;20.479476
SZP;10-693;OLSZTYN;HALLERA 4B;53.74;20.479476
PRO;10-045;OLSZTYN;NIEPODLEG£OåCI 44;53.770238;20.479557
AOS;10-045;OLSZTYN;NIEPODLEG£OåCI 44;53.770238;20.479557
AOS;10-047;OLSZTYN;NIEPODLEG£OåCI 44;53.770238;20.479557
SZP;10-045;OLSZTYN;NIEPODLEG£OåCI 44;53.770238;20.479557
ZPO;10-045;OLSZTYN;NIEPODLEG£OåCI 44;53.770238;20.479557
AOS;10-117;OLSZTYN;1 MAJA 6/101;53.779118;20.479956
ZPO;10-576;OLSZTYN;PI£SUDSKIEGO 2/8;53.778094;20.48049
POZ;10-226;OLSZTYN;WOJSKA POLSKIEGO 33/5;53.784319;20.480895
POZ;10-226;OLSZTYN;WOJSKA POLSKIEGO 33/4;53.783966;20.481139
POZ;10-048;OLSZTYN;GRZEGORZEWSKIEJ 6;53.765575;20.481198
POZ;10-117;OLSZTYN;1-GO MAJA 3;53.78049;20.4813
POZ;10-226;OLSZTYN;WOJSKA POLSKIEGO 33/6;53.784727;20.481645
POZ;10-224;OLSZTYN;WOJSKA POLSKIEGO 19/23;53.789461;20.481741
POZ;13-100;NAPIWODA;25A;53.40828;20.481938
STM;10-228;OLSZTYN;AL.WOJSKA POLSKIEGO 33/11;53.785636;20.481977
ZPO;10-900;OLSZTYN;WOJSKA POLSKIEGO 19/24;53.790673;20.482051
AOS;10-290;OLSZTYN;ALEJA WOJSKA POLSKIEGO 80/18;53.783731;20.482089
AOS;10-290;OLSZTYN;WOJSKA POLSKIEGO 80;53.783731;20.482089
AOS;10-290;OLSZTYN;WOJSKA POLSKIEGO 80/18;53.783731;20.482089
SZP;10-290;OLSZTYN;WOJSKA POLSKIEGO 80;53.783731;20.482089
ZPO;10-290;OLSZTYN;WOJSKA POLSKIEGO 80;53.783731;20.482089
AOS;10-602;OLSZTYN;WARMI—SKA 14/14;53.779296;20.482336
ZPO;10-602;OLSZTYN;WARMI—SKA 14/14;53.779296;20.482336
POZ;10-527;OLSZTYN;PARTYZANT”W 85;53.781404;20.482453
STM;10-046;OLSZTYN;NIEPODLEG£OåCI 87A/11;53.769132;20.482518
AOS;10-295;OLSZTYN;AL. WOJSKA POLSKIEGO 39;53.791407;20.482704
SZP;10-295;OLSZTYN;AL. WOJSKA POLSKIEGO 39;53.791407;20.482704
PSY;10-228;OLSZTYN;WOJSKA POLSKIEGO 35;53.795207;20.482805
STM;10-228;OLSZTYN;WOJSKA POLSKIEGO 35;53.795207;20.482805
POZ;10-226;OLSZTYN;ALEJA WOJSKA POLSKIEGO 33;53.795838;20.482861
POZ;10-226;OLSZTYN;WOJSKA POLSKIEGO 33;53.795838;20.482861
ZPO;10-576;OLSZTYN;PI£SUDSKIEGO 16;53.777119;20.483028
AOS;10-229;OLSZTYN;AL. WOJSKA POLSKIEGO 30;53.798334;20.483035
OPH;10-226;OLSZTYN;AL WOJSKA POLSKIEGO 30;53.798334;20.483035
REH;10-229;OLSZTYN;AL.WOJSKA POLSKIEGO 30.;53.798334;20.483035
SPO;10-226;OLSZTYN;AL. WOJSKA POLSKIEGO 30;53.798334;20.483035
SZP;10-229;OLSZTYN;AL. WOJSKA POLSKIEGO 30;53.798334;20.483035
AOS;10-228;OLSZTYN;WOJSKA POLSKIEGO 37;53.793759;20.483116
POZ;10-228;OLSZTYN;WOJSKA POLSKIEGO 37;53.793759;20.483116
PRO;10-228;OLSZTYN;WOJSKA POLSKIEGO 37;53.793759;20.483116
PSY;10-228;OLSZTYN;WOJSKA POLSKIEGO 37;53.793759;20.483116
REH;10-228;OLSZTYN;WOJSKA POLSKIEGO 37;53.793759;20.483116
SOK;10-228;OLSZTYN;WOJSKA POLSKIEGO 37;53.793759;20.483116
SZP;10-228;OLSZTYN;WOJSKA POLSKIEGO 37;53.793759;20.483116
ZPO;10-228;OLSZTYN;ALEJA WOJSKA POLSKIEGO 37;53.793759;20.483116
PRO;10-351;OLSZTYN;ØEROMSKIEGO 8A/2;53.786717;20.483435
AOS;10-555;OLSZTYN;KOåCIUSZKI 92/12U;53.771917;20.483859
AOS;10-555;OLSZTYN;TADEUSZA KOåCIUSZKI 92/34;53.771917;20.483859
AOS;10-527;OLSZTYN;PARTYZANT”W 80;53.781744;20.483974
STM;10-527;OLSZTYN;PARTYZANT”W 80;53.781744;20.483974
OPH;10-555;OLSZTYN;KOåCIUSZKI 86;53.772908;20.484436
SPO;10-555;OLSZTYN;KOåCIUSZKI 86;53.772908;20.484436
AOS;10-544;OLSZTYN;WARMI—SKA 27;53.78156;20.484789
POZ;10-544;OLSZTYN;WARMI—SKA 27;53.78156;20.484789
ZPO;10-552;OLSZTYN;KOåCIUSZKI 84D;53.773475;20.484837
POZ;10-295;OLSZTYN;PUSZKINA 11;53.789602;20.484991
AOS;10-561;OLSZTYN;OBRO—C”W TOBRUKU 1/1;53.764181;20.485065
ZPO;10-561;OLSZTYN;OBRO—C”W TOBRUKU 1/1;53.764181;20.485065
POZ;10-271;OLSZTYN;JAGIELLO—SKA 8;53.785792;20.485157
STM;10-266;OLSZTYN;OKRZEI 25/2;53.7852;20.48522
AOS;11-236;OLSZTYN;SYBIRAK”W 36;53.795981;20.485229
AOS;10-236;OLSZTYN;SYBIRAK”W 36;53.795321;20.485279
RTM;10-236;OLSZTYN;ALEJA SYBIRAK”W 36;53.795321;20.485279
POZ;10-295;OLSZTYN;PUSZKINA 13;53.790365;20.48544
PSY;10-295;OLSZTYN;PUSZKINA 13;53.790365;20.48544
POZ;10-551;OLSZTYN;ADAMA MICKIEWICZA 6;53.779182;20.48551
ZPO;10-542;OLSZTYN;D•BROWSZCZAK”W 39;53.779787;20.485644
STM;10-693;OLSZTYN;BERLINGA 5/25;53.744428;20.486117
ZPO;10-541;OLSZTYN;D•BROWSZCZAK”W 34;53.780392;20.486291
AOS;10-561;OLSZTYN;ØO£NIERSKA 14B;53.770844;20.48633
ZPO;10-266;OLSZTYN;OKRZEI 10;53.78502;20.48641
REH;10-525;OLSZTYN;PARTYZANT”W 74/1;53.782219;20.486558
ZPO;10-539;OLSZTYN;D•BROWSZCZAK”W 17;53.7815;20.486716
POZ;10-049;OLSZTYN;WINCENTEGO PSTROWSKIEGO 5;53.767082;20.486776
STM;10-049;OLSZTYN;PSTROWSKIEGO 5;53.767082;20.486776
STM;10-554;OLSZTYN;KOåCIUSZKI 85/12;53.774855;20.486902
ZPO;10-684;OLSZTYN;OR£OWICZAICZA 8 A;53.752808;20.487028
AOS;10-686;OLSZTYN;JAGIELLO—SKA 22;53.787333;20.487215
ZPO;10-954;OLSZTYN;KOPERNIKA 46A;53.779259;20.487487
STM;10-686;OLSZTYN;MELCHIORA WA—KOWICZA 1;53.754554;20.487573
POZ;10-282;OLSZTYN;SYBIRAK”W 3A;53.79245;20.487619
STM;10-526;OLSZTYN;AL. SYBIRAK”W 3A/P.107;53.79245;20.487619
AOS;10-348;OLSZTYN;NIEDZA£KOWSKIEGO 22/24;53.787635;20.487695
ZPO;10-348;OLSZTYN;NIEDZA£KOWSKIEGO 22/24;53.787635;20.487695
POZ;10-553;OLSZTYN;KOåCIUSZKI 70;53.776939;20.487861
AOS;10-273;OLSZTYN;JAGIELLO—SKA 26/1A;53.787967;20.488028
POZ;10-448;OLSZTYN;G£OWACKIEGO 28;53.775037;20.488123
POZ;10-509;OLSZTYN;MICKIEWICZA 10;53.778544;20.488211
POZ;11-220;G”ROWO I£AWECKIE;SIKORSKIEGO 19;54.28988;20.488328
RTM;11-220;G”ROWO I£AWECKIE;SIKORSKIEGO 19;54.28988;20.488328
STM;11-220;G”ROWO I£AWECKIE;SIKORSKIEGO 19;54.28988;20.488328
POZ;10-252;OLSZTYN;SYBIRAK”W 3;53.79233;20.488483
POZ;10-684;OLSZTYN;WANKOWICZA 1A;53.753728;20.488645
POZ;10-547;OLSZTYN;KAJKI 6;53.781171;20.488945
STM;10-510;OLSZTYN;KOPERNIKA 12/2;53.7804;20.48908
